Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l,BuyYesrs<3,BuyYesrs_3_5,BuyYesrs_6_10,BuyYesrs>10,ProductHouse
2,43.0,1,1,0,1,156.0,36279.0,1,0,0,0,0,1,0,1,0,0,0,0
2,60.0,1,0,1,1,120.0,20000.0,1,0,0,0,0,1,0,1,0,0,0,1
2,40.0,1,0,1,1,90.0,22500.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,0,1,105.0,25000.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,1,1,153.0,36523.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,0,1,153.0,36428.0,1,0,0,0,0,1,0,1,0,0,0,0
1,45.0,1,0,0,1,125.0,27777.0,1,0,0,0,0,1,0,1,0,0,0,0
1,45.0,1,0,0,1,112.0,24888.0,1,0,0,0,0,1,0,1,0,0,0,0
1,54.0,1,1,0,1,115.0,21296.0,0,0,0,1,0,0,1,1,0,0,0,1
1,42.0,1,0,1,1,145.0,34523.0,1,1,0,0,0,1,0,1,0,0,0,0
2,50.0,1,0,0,1,92.0,18400.0,1,0,0,0,0,1,0,1,0,0,0,0
1,38.0,1,0,1,1,98.0,25789.0,1,0,0,0,0,0,1,1,0,0,0,0
2,55.0,1,0,0,1,88.0,16000.0,1,1,0,0,0,1,0,1,0,0,0,1
2,53.0,1,1,1,1,210.0,39622.0,1,0,0,0,0,1,0,1,0,0,0,1
2,50.0,1,1,0,1,216.0,43200.0,1,0,0,0,1,0,0,1,0,0,0,0
2,45.0,1,1,1,1,155.0,34065.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,1,1,159.0,37857.0,1,0,1,0,0,1,0,1,0,0,0,0
2,42.0,1,0,0,1,150.0,35714.0,1,1,0,0,0,0,1,1,0,0,0,0
2,51.0,1,1,0,1,99.0,19411.0,1,0,0,0,1,0,0,1,0,0,0,1
1,41.0,1,0,0,1,114.0,27804.0,1,0,0,0,1,0,0,1,0,0,0,0
2,42.0,1,0,0,1,163.0,38809.0,1,1,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,0,1,160.0,38095.0,1,1,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,0,1,159.0,37857.0,1,1,0,0,0,1,0,1,0,0,0,0
1,49.0,1,1,0,1,160.0,32653.0,0,1,1,0,0,1,0,1,0,0,0,0
2,42.0,1,1,0,1,150.0,35714.0,1,1,0,0,0,0,1,1,0,0,0,0
1,45.0,1,0,0,1,150.0,33333.0,1,1,0,0,0,1,0,1,0,0,0,0
1,46.0,1,1,0,1,134.0,29250.0,1,0,0,1,0,0,1,1,0,0,0,0
4,198.0,1,0,1,1,758.0,38282.0,1,1,0,0,0,1,0,1,0,0,0,1
2,42.0,1,1,0,1,120.0,28571.0,1,0,0,0,1,0,0,1,0,0,0,0
2,45.0,1,1,1,1,185.0,41111.0,1,0,0,0,0,1,0,1,0,0,0,0
2,45.0,1,1,0,1,186.0,41333.0,1,0,0,0,0,1,0,1,0,0,0,0
2,46.0,1,1,0,1,186.0,40434.0,1,0,0,0,0,1,0,1,0,0,0,0
2,51.0,1,1,1,1,95.0,18627.0,1,0,0,0,1,0,0,1,0,0,0,1
2,48.0,1,1,1,1,170.0,35416.0,0,1,0,0,0,1,0,1,0,0,0,0
2,46.0,1,1,1,1,170.0,36956.0,1,1,0,0,1,0,0,1,0,0,0,0
3,67.0,1,1,1,1,200.0,29850.0,1,1,0,0,0,1,0,1,0,0,0,1
1,51.0,1,1,1,1,132.0,25882.0,1,1,0,0,0,1,0,1,0,0,0,1
1,54.0,1,1,1,1,110.0,20220.0,1,0,0,0,0,1,0,1,0,0,0,1
2,45.0,1,0,0,1,155.0,34444.0,1,0,0,0,0,1,0,1,0,0,0,0
2,40.0,1,1,0,1,155.0,38750.0,1,0,0,0,1,0,0,1,0,0,0,0
2,45.0,1,1,0,1,155.0,34444.0,1,0,0,0,1,0,0,1,0,0,0,0
2,42.0,1,1,0,1,148.0,35238.0,1,0,0,0,1,0,0,1,0,0,0,0
2,45.0,1,1,0,1,165.0,36666.0,1,0,0,0,0,1,0,1,0,0,0,0
2,45.0,1,1,0,1,155.0,34444.0,1,0,0,0,0,1,0,1,0,0,0,0
2,45.0,1,1,0,1,155.0,34444.0,1,0,0,0,1,0,0,1,0,0,0,0
2,45.0,1,1,0,1,156.0,34666.0,1,0,0,0,0,1,0,1,0,0,0,0
2,42.0,1,1,0,1,145.0,34523.0,1,0,0,0,0,1,0,1,0,0,0,0
2,45.0,1,1,0,1,155.0,34444.0,1,0,0,0,1,0,0,1,0,0,0,0
2,43.0,1,0,0,1,158.0,36744.0,1,0,0,0,0,1,0,1,0,0,0,0
1,45.0,1,1,0,1,116.0,25777.0,1,0,0,0,1,0,0,1,0,0,0,0
2,43.0,1,1,0,1,112.0,26046.0,1,0,0,0,1,0,0,1,0,0,0,0
2,42.0,1,1,1,1,148.0,35238.0,1,1,0,0,0,1,0,1,0,0,0,0
2,42.0,1,0,0,1,158.0,37619.0,1,0,0,0,0,1,0,1,0,0,0,0
2,45.0,1,0,0,1,152.0,33777.0,1,0,0,0,1,0,0,1,0,0,0,0
1,46.0,1,1,0,1,112.0,24347.0,1,0,0,0,0,1,0,1,0,0,0,0
2,40.0,1,0,1,1,90.0,22500.0,1,0,0,0,0,1,0,1,0,0,0,0
