Rooms,Area,Decorate,subway,FiveYear,hasLift,TotalPrice,Price,Toward_s,Toward_n,Toward_e,Toward_w,Floor_h,Floor_m,Floor_l
2,42,1,1,1,1,172.0,40952,0,0,1,0,0,1,0
2,51,1,0,1,0,90.0,17647,1,0,0,0,0,1,0
2,46,1,1,1,1,168.0,36521,1,0,0,0,1,0,0
1,45,1,0,1,1,120.0,26666,1,0,0,0,0,0,1
2,46,1,1,1,1,168.0,36521,1,0,0,0,0,1,0
3,121,0,0,1,1,385.0,31818,1,1,0,0,0,1,0
3,89,0,0,1,1,278.0,31235,1,1,0,0,0,1,0
3,89,0,0,0,1,300.0,33707,1,1,0,0,0,1,0
3,121,0,0,1,1,370.0,30578,1,1,0,0,0,0,1
4,89,0,0,1,1,280.0,31460,1,1,0,0,0,1,0
2,46,1,1,1,1,168.0,36521,1,0,0,0,0,1,0
2,42,1,1,1,1,160.0,38095,1,1,0,0,0,0,1
2,50,1,1,0,1,160.0,32000,1,0,0,0,1,0,0
2,55,1,1,0,1,150.0,27272,1,0,0,0,0,1,0
2,42,1,0,1,1,160.5,38214,1,0,0,0,0,0,1
2,35,1,1,0,1,118.0,33714,1,0,0,0,0,1,0
2,42,1,0,1,1,118.0,28095,1,0,0,0,0,1,0
2,40,1,0,1,1,90.0,22500,1,0,0,0,0,1,0
2,42,1,1,1,1,150.0,35714,1,0,1,0,0,1,0
2,42,1,0,1,1,133.0,31666,1,0,0,0,0,0,1
2,42,1,0,1,1,128.0,30476,1,0,0,0,1,0,0
2,42,1,1,0,1,135.0,32142,1,0,0,0,1,0,0
2,45,1,1,1,1,168.0,37333,1,0,0,0,0,1,0
2,42,1,0,1,1,130.0,30952,1,0,0,0,0,1,0
2,75,1,0,1,1,202.0,26933,1,1,0,0,1,0,0
3,85,1,0,1,1,251.0,29196,1,0,0,0,0,1,0
2,42,1,1,1,1,150.0,35714,1,0,0,0,0,0,1
2,42,1,0,1,1,145.0,34523,1,0,0,0,1,0,0
2,49,1,1,0,1,165.0,33591,0,0,0,1,0,1,0
2,49,1,1,0,1,136.0,27676,0,0,0,1,1,0,0
2,42,1,0,1,1,130.0,30952,1,0,0,0,0,1,0
2,45,1,1,1,1,156.0,33986,1,0,0,0,0,1,0
2,72,1,0,1,1,201.0,27916,1,0,0,0,0,0,1
1,35,1,1,0,0,120.0,34285,0,0,1,0,0,1,0
3,49,1,1,0,1,175.0,35714,0,0,1,0,0,1,0
3,89,1,0,0,1,251.0,28139,1,0,0,0,0,1,0
2,81,1,0,1,1,252.0,31111,1,0,0,0,0,1,0
2,73,1,0,0,1,211.0,28904,1,0,0,0,1,0,0
2,42,1,0,1,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,0,1,210.0,50000,1,0,0,0,0,1,0
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
3,85,1,0,1,1,301.0,35229,1,0,0,0,0,1,0
2,62,1,0,1,1,151.0,24350,1,1,0,0,1,0,0
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,1,1,130.0,30952,1,0,0,0,0,1,0
2,42,1,0,0,1,169.0,40238,1,0,1,0,0,1,0
2,32,1,0,1,1,80.0,25000,1,1,0,0,1,0,0
1,47,1,1,1,1,148.0,31489,1,0,0,0,0,0,1
2,42,1,1,1,1,160.0,38095,1,0,1,0,0,1,0
1,42,1,0,1,1,148.8,35428,1,0,0,0,1,0,0
4,238,0,1,1,1,650.0,27310,1,1,0,0,0,1,0
2,40,1,1,0,1,156.0,39000,1,0,0,0,0,1,0
2,40,1,1,0,1,158.0,39500,1,0,0,0,1,0,0
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,51,1,1,1,1,150.0,29411,1,0,0,0,1,0,0
2,42,1,0,1,1,145.0,34523,1,0,0,0,1,0,0
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,49,1,1,0,0,107.0,21836,1,0,0,0,1,0,0
2,42,1,0,1,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,0,1,188.0,44339,1,0,1,0,0,0,1
2,42,1,0,1,1,130.0,30952,1,0,0,0,0,1,0
2,42,1,0,1,1,178.0,42380,1,0,0,0,0,1,0
2,80,1,1,0,1,120.0,15000,1,0,0,0,0,1,0
2,42,1,1,1,1,156.0,37142,1,0,0,0,0,1,0
2,42,1,0,0,1,138.0,32857,1,0,1,0,0,1,0
2,70,1,1,0,1,100.0,14285,1,0,0,0,1,0,0
2,52,1,1,1,1,220.0,42307,1,0,0,0,0,1,0
2,50,1,1,0,1,110.0,22000,1,0,0,0,1,0,0
3,86,1,1,1,1,314.0,36175,1,1,0,0,0,1,0
2,32,1,0,1,1,80.0,25000,1,1,0,0,1,0,0
1,45,1,0,0,1,123.5,27444,1,0,0,0,0,0,1
2,45,1,1,1,1,155.0,34444,1,0,0,0,0,1,0
2,42,1,1,1,1,145.0,34523,1,0,0,0,0,1,0
